NuSTAR OBSID, Gal. Lon. [deg], Gal. Lat [deg], Avg. Exposure [s], Target
60001141004,81.96,-79.38,24183.7,2FGLJ0022d2m1853
60001143002,303.23,14.12,48095.9,NGC4785
60001145002,16.77,25.74,21561.3,2MFGC13496
60001146002,70.45,-29.84,25351.3,IRAS_21483p1352
60001147002,75.53,-52.64,26361.0,UGC_12348
60001148002,154.17,71.23,25999.9,IC751
60001148004,154.20,71.22,25310.3,IC751
60001149002,297.52,57.41,22331.2,NGC4593
60001149004,297.51,57.41,20722.1,NGC4593
60001149006,297.50,57.41,20647.6,NGC4593
60001149008,297.51,57.42,22383.5,NGC4593
60001149010,297.53,57.42,20921.3,NGC4593
60001150002,202.02,65.50,27648.9,NGC3486
60001151002,90.58,-48.78,51051.4,NGC7674
60001153002,311.78,32.45,32944.4,NGC5135
60001154002,149.75,-19.29,28716.0,Mrk1066
60001156004,241.72,50.99,35780.5,WISEJ1036p0449
60001156006,241.69,50.97,20750.0,WISEJ1036p0449
60001158002,194.63,-23.86,93774.6,2MASXJ04532576p0403416
60001159002,57.01,-28.03,23400.3,PG2112p059
60001160002,207.42,-37.43,33281.3,MCG_02_12_017
60001161002,149.49,-13.29,21436.4,Mrk1073
60001162002,101.45,79.23,47995.2,NGC5005
60001165002,56.93,-21.34,29051.4,WISEJ2052p0952
60002020002,305.16,57.07,39309.8,3C279
60002020004,305.16,57.07,42525.8,3C279
60002022002,17.80,-52.26,44677.1,PKS2155m304
60002022004,17.79,-52.25,13567.3,PKS2155m304
60002022008,17.73,-52.26,13199.1,PKS2155m304
60002022010,17.74,-52.26,10083.3,PKS2155m304
60002022012,17.71,-52.25,10938.2,PKS2155m304
60002022014,17.67,-52.25,11961.0,PKS2155m304
60002022016,17.69,-52.24,11237.0,PKS2155m304
60002023004,179.80,65.04,22344.2,Mkn421
60002023008,179.78,65.03,24586.1,Mkn421
60002025002,121.60,60.31,40401.3,Mrk231
60002025004,121.66,60.25,27728.7,Mrk231
60002027004,227.85,-30.24,21680.8,IRAS05189m2524
60002027005,227.89,-30.26,7746.4,IRAS05189m2524
60002028002,108.04,59.68,69434.0,Mrk273
60002030004,172.12,-51.95,48157.8,NGC1068
60002030006,172.12,-51.95,19174.1,NGC1068
60002032002,10.36,11.16,42429.4,PDS_456
60002032004,10.37,11.17,42634.4,PDS_456
60002032006,10.38,11.17,43728.6,PDS_456
60002032008,10.36,11.17,58170.3,PDS_456
60002033002,172.09,-51.91,51532.3,NGC1068
60002033004,172.11,-51.96,53318.7,NGC1068
60002036002,308.14,52.42,21354.0,NGC4939
60002042002,133.31,42.43,50560.5,NGC3516
60002042004,133.28,42.43,71530.5,NGC3516
60002044005,31.88,70.52,48581.8,NGC5548
60002044008,31.98,70.46,49359.2,NGC5548
60002045002,143.57,34.42,29347.9,HB0836p710
60002045004,143.52,34.38,35749.8,HB0836p710
60002046002,237.90,-54.57,35993.6,NGC1365
60002046003,237.89,-54.58,40296.6,NGC1365
60002046007,237.99,-54.61,73063.0,NGC1365
60002046009,237.98,-54.61,69613.8,NGC1365
60002047004,152.92,-36.60,19924.8,1ES0229p200
60002047006,152.92,-36.59,17553.9,1ES0229p200
60002048002,143.29,22.74,29409.7,Mrk3
60002048004,143.29,22.74,33071.8,Mrk3
60002048006,143.28,22.74,32896.1,Mrk3
60002048008,143.28,22.73,26227.4,Mrk3
60002048010,143.28,22.73,30513.9,Mrk3
60002048012,143.31,22.71,25665.7,Mrk3
60002049004,143.31,22.69,24288.6,Mrk3
60002049006,143.31,22.70,24929.5,Mrk3
60002049010,143.32,22.70,27667.3,Mrk3
60002051004,305.25,13.35,54329.4,NGC4945
60002051006,305.25,13.32,34465.8,NGC4945
60002060006,51.00,-55.30,49582.0,Mrk915
60006011002,185.04,-13.46,15233.0,2MASXJ05081967p1721483
60021019001,236.52,42.23,29034.7,COSMOS_MOS019
60021020002,236.63,42.16,30419.1,COSMOS_MOS020
60021021001,236.74,42.09,27456.2,COSMOS_MOS021
60021022001,236.86,42.02,24838.5,COSMOS_MOS022
60021056001,236.37,42.34,24147.1,COSMOS_MOS056
60021058001,236.18,42.18,23021.1,COSMOS_MOS058
60021067001,236.57,42.78,26071.4,COSMOS_MOS067
60021076001,236.09,42.35,24769.1,COSMOS_MOS076
60021081002,235.80,42.10,24297.8,COSMOS_MOS081
60021083001,236.03,41.97,24717.0,COSMOS_MOS083
60021084001,236.14,41.89,25372.7,COSMOS_MOS084
60021087001,236.48,41.68,26353.9,COSMOS_MOS087
60021089001,236.70,41.54,26134.6,COSMOS_MOS089
60021090001,236.80,41.47,25792.5,COSMOS_MOS090
60021091001,236.91,41.40,23271.0,COSMOS_MOS091
60021092001,237.01,41.49,25684.8,COSMOS_MOS092
60021096001,237.39,41.82,27138.6,COSMOS_MOS096
60021110001,237.22,42.50,23815.1,COSMOS_MOS110
60021111001,237.32,42.58,24421.8,COSMOS_MOS111
60021117001,236.94,42.80,26710.3,COSMOS_MOS117
60021119001,236.83,42.87,26560.9,COSMOS_MOS119
60022003001,223.87,-54.42,45902.4,ECDFS_MOS003
60022011002,223.47,-54.38,44792.8,ECDFS_MOS011
60023007005,96.44,59.30,48636.3,EGS_MOS007
60061002002,100.30,-61.58,21279.8,2MASXJ00091156m0036551
60061007002,283.34,-78.26,15093.2,NGC424
60061009002,296.18,-61.42,23663.4,NGC454E
60061010002,128.03,-12.51,31072.1,MCGp08_03_018
60061012002,130.74,-28.61,15756.0,NGC0513
60061014002,261.58,-77.00,16389.9,NGC612
60061018002,165.27,-63.85,15121.7,NGC788
60061020002,274.18,-62.76,18085.7,ESO197_27
60061021002,289.12,-50.32,23088.9,RBS0295
60061025002,180.83,-59.46,13513.1,NGC0985
60061027002,182.03,-57.96,15300.2,NGC1052
60061035002,179.19,-48.98,30487.6,NGC1194
60061036004,186.36,-46.18,27714.1,NGC1320
60061039006,228.53,-51.65,9234.7,1RXSJ034704d9m302409
60061042002,179.83,-31.02,26663.4,3C098
60061051002,180.97,-17.08,19694.6,MCGp03_13_001
60061052002,266.65,-38.90,26088.6,ESO119_8
60061053002,194.67,-23.93,14173.8,2MASXJ04532576p0403416
60061053004,194.62,-23.86,18021.4,2MASXJ04532576p0403416
60061054002,287.78,-33.32,23289.9,ESO033_G002
60061056002,224.94,-33.11,20840.7,2MASXJ05054575m2351139
60061063002,299.19,-27.71,23509.0,ESO5_4
60061065002,270.23,-26.79,20185.9,ESO121_IG028
60061070002,252.30,-20.09,21592.3,2MASXJ06403799m4321211
60061072002,182.47,19.60,23266.6,MCGp06_16_028
60061078002,216.70,18.51,15156.6,Mrk1210
60061080002,228.36,17.81,24024.0,FAIRALL0272
60061083002,194.18,35.41,20738.9,4C29d30
60061086002,150.80,37.48,4002.9,MCGp11_11_032
60061088002,155.76,39.36,19908.9,Mrk18
60061089002,174.75,43.10,18371.0,2MASXJ09112999p4528060
60061090002,213.80,39.74,21236.7,Mrk704
60061091002,239.76,28.07,12003.5,MCG_01_24_012
60061091004,239.79,28.04,8985.6,MCG_01_24_012
60061091006,239.80,28.04,11470.8,MCG_01_24_012
60061091008,239.79,28.05,13783.4,MCG_01_24_012
