NuSTAR OBSID, Gal. Lon. [deg], Gal. Lat [deg], Avg. Exposure [s], Target
60202001002,310.17,23.96,62217.6,IRAS_13224m3809
60202001004,310.17,23.97,63875.3,IRAS_13224m3809
60202001006,310.17,23.97,65504.4,IRAS_13224m3809
60202001010,310.17,23.97,61481.8,IRAS_13224m3809
60202015002,61.28,17.48,22491.1,3C_382
60202015004,61.27,17.48,23741.4,3C_382
60202015006,61.28,17.46,17042.8,3C_382
60202015008,61.28,17.45,21246.9,3C_382
60260001002,211.38,21.08,20045.6,MCGp02_21_013
60260003002,102.98,26.15,37153.3,2MASXJ18452628p7211008
60260005002,151.90,-13.36,20826.8,IRAS03219p4031
60260006002,218.58,-40.25,20384.1,2MASXJ04293830m2109441
60260007002,172.52,26.07,21685.7,1RXSJ073308d7p455511
60260008002,226.78,72.06,18179.6,Mrk739E
60260009002,142.37,61.36,24243.8,SDSSJ114921d52p532013d4
60260010002,314.12,36.57,19905.8,ESO509mG038
60260011002,42.13,40.67,21065.3,2MASXJ16311554p2352577
60260012002,135.28,-32.34,21046.9,2MASXJ01392400p2924067
60260013002,139.27,-14.14,23529.4,VZw232
60260015002,246.04,42.99,25854.1,2MASXJ10195855m0234363
60261001002,328.52,-14.05,19783.9,NGC6300
60261001004,328.46,-14.06,22202.8,NGC6300
60261002002,312.81,28.05,102212.5,ESO383_18
60261003002,187.59,-33.58,20090.2,3C105
60261003004,187.61,-33.64,20397.9,3C105
60261004002,98.17,-17.06,51163.8,3C452
60261005002,93.24,-20.97,36824.2,NGC7319_Stephan
60261006002,9.91,-50.33,40303.7,NGC7130
60261007002,262.85,-82.60,43449.6,IC1663
60360008002,63.76,56.64,18564.1,SDSSJ152132d21p391206d9
60361014002,25.23,41.66,26505.6,IC1198
60361017002,3.16,-55.45,24486.7,ESO344mG016
60361023002,109.04,38.93,26158.8,UGC_09944
60362025002,21.98,-47.44,42279.2,2MASXJ21391374m2646315
60363001002,303.86,35.89,19329.9,6dFJ1254564m265702
60363002002,221.71,-68.97,21687.0,AM0224m283
60363003002,166.70,-48.03,18978.9,2MASXJ02420381p0510061
60363005002,20.75,-46.60,20795.4,1RXSJ213445d2m272551
60365005002,58.60,67.36,48597.5,XBootes_005
60366002002,83.31,-57.16,50841.9,S82X_002
60376007002,126.56,36.99,53185.5,UGC06728
80001004002,164.66,32.92,27524.5,SDSSJ080941d74p534125d0
80001020002,108.74,-41.41,68293.9,Mkn335
80001032002,283.30,-44.68,62929.8,NGC1313
80001042002,91.55,51.13,56756.6,NGC5907
80001042004,91.55,51.13,56046.6,NGC5907
80001084002,305.94,-44.88,17363.4,47Tuc_X9
80001084004,305.94,-44.88,77834.1,47Tuc_X9
80001085002,93.71,-20.77,31522.0,SN2014C
80001086002,307.56,-79.45,19796.1,GRB150201A
80002031003,282.04,36.54,62925.2,HE1136m2304
80002095002,206.49,72.48,29777.6,GRB130427A
80002095004,206.52,72.46,20908.4,GRB130427A
80002095006,206.52,72.47,7492.8,GRB130427A
80002096004,217.20,-64.70,87868.3,GRB130925A
80201024002,355.36,-31.87,45573.5,PKS_2004m447
80202020004,141.42,40.53,31309.7,M82_X2
80202020006,141.43,40.54,30208.2,M82_X2
80202020008,141.44,40.55,39818.5,M82_X2
90001007002,356.21,32.96,41172.9,1RXSJ154439d4m112820
90002003002,143.97,27.98,18074.9,S5_0716p714
90101004002,34.63,64.74,37593.8,PKS1441p25
90101008002,10.36,11.18,72678.9,PDS_456
90101008004,10.36,11.16,37420.5,PDS_456
90101021002,196.64,42.92,48727.5,Ton_396
90102001002,121.67,60.22,31235.9,Mrk231
90102001004,121.69,60.23,27966.7,Mrk231
90102001006,121.65,60.25,30242.8,Mrk231
90201018002,128.77,34.71,14403.3,S5_1039p81
90201019002,121.63,18.79,16834.2,S5_0014p81
90201023002,279.13,-38.59,58891.6,IGRJ04288m6702
90201037002,141.41,40.60,79344.6,M82_X1
90201039002,138.10,10.53,48542.7,IC342_X1
90201043002,163.54,-56.96,50557.2,Mrk590
90201047002,196.66,42.91,29607.1,TON_396
90201050002,283.38,-44.66,70221.5,NGC1313_X1
90201054002,206.82,35.79,51846.4,OJ287
90202038002,141.40,40.58,45095.1,M82_ULXS
90202038004,141.40,40.56,43027.6,M82_ULXS
90301003002,54.18,-17.31,20067.3,2MFGC_15598
90301005002,328.63,49.99,23562.8,Swift_J1357d2m0933
90301006002,243.48,45.74,26153.7,PSR_J1023p0038
90301014002,141.37,32.66,34572.4,Z_Cam
90301618002,195.40,-19.60,24553.1,QSO_J0509p0541
90302004004,95.76,11.72,45989.2,SN2017eaw
90361002002,304.83,43.16,8698.4,NGC_4830
90361003002,308.32,39.29,22614.9,NGC_4993
90361003004,308.32,39.29,38168.5,NGC_4993
90361003006,308.33,39.29,18843.2,NGC_4993
90361003007,308.35,39.30,24897.9,NGC_4993
90361013002,309.21,36.01,10449.4,MCGm04m31m042
90361015002,310.59,35.03,11357.7,NGC_5078
